
ISO 639-3	Language	Family	Genus	Subgenus	Speakers	Script	Parts
acu	Achuar-Shiwiar	Jivaroan			5,000	Latin	New Testament
afr	Afrikaans	Indo-European	Germanic	West	5,000,000	Latin	COMPLETE
agr	Aguaruna	Jivaroan			38,300	Latin	New Testament
ake	Akawaio	Carib	Northern	East-West Guiana	4,500	Latin	New Testament
als	Albanian	Indo-European	Albanian	Tosk	3,000,000	Latin	COMPLETE
amh	Amharic	Afro-Asiatic	Semitic	South	17,500,000	Ethiopic	COMPLETE
amu	Amuzgo	Oto-Manguean	Amuzgoan		23,000	Latin	New Testament
arb	Arabic	Afro-Asiatic	Semitic	Central	206,000,000	Arabic	COMPLETE
hye	Armenian	Indo-European	Armenian		6,400,000	Armenian	Gen. Exod. Gosp.
djk	Aukan	Creole	English based	Atlantic	15,500	Latin	New Testament
bsn	Barasana-Eduria	Tucanoan	Eastern Tucanoan	Central	1,890	Latin	New Testament
eus	Basque	Basque			700,000	Latin	New Testament
bul	Bulgarian	Indo-European	Slavic	South	9,000,000	Cyrillic	COMPLETE
cjp	Cabécar	Chibchan	Talamanca		8,840	Latin	New Testament
cak	Cakchiquel	Mayan	Quichean	Greater Quichean	132,000	Latin	New Testament
cni	Campa (Asháninka)	Arawakan	Maipuran	Southern Maipuran	26,100	Latin	New Testament
kbh	Camsá	Equatorial (?)			4,770	Latin	New Testament
ceb	Cebuano	Austronesian	Malayo-Polynesian	Phillipine	15,800,000	Latin	COMPLETE
cha	Chamorro	Austronesian	Malayo-Polynesian	Chamorro	92,000	Latin	Psalm Gosp. Acts
chr	Cherokee	Iroquoian	Southern Iroquoian		16,400	Cherokee	New Testament
chq	Chinantec (Quiotepec)	Oto-Manguean	Chinantecan		8,000	Latin	New Testament
cmn	Chinese	Sino-Tibetan	Sinitic	Chinese	840,000,000	Chinese	COMPLETE
↳  	Chinese (tokenised) [Tokenisation by Armin Hoenen, using Stanford Word Segmenter 3.5.2]
cop	Coptic	Afro-Asiatic	Egyptian		Extinct	Coptic	New Testament
hrv	Croatian	Indo-European	Slavic	South	5,500,000	Latin	COMPLETE
ces	Czech	Indo-European	Slavic	West	9,500,000	Latin	COMPLETE
dan	Danish	Indo-European	Germanic	North	5,500,000	Latin	COMPLETE
